,AL,CA,CO,CT,DE,IL,KY,MD,MI,MN,NJ,NY,OH,OR,WV
Alaska,0.0,4.410158361992364e-16,1.7816279887652112e-16,1.3058775000163386e-16,0.0709687791953956,0.024319403519884052,0.03922755774572321,9.797300310856509e-17,0.0035260966141908486,0.0,2.0437399819370795e-17,0.03382105225666542,0.0,0.024898178055026098,0.1658217886266083
Arkansas,3.7852713385130215e-16,0.0,4.079089727953971e-18,3.4685699425667267e-17,7.27887193577736e-16,0.04277347848887629,3.281114357043709e-16,3.443872155046108e-17,5.113537265976211e-17,0.0,7.28392533881032e-17,1.154366895079275e-17,3.9979416369544157e-16,0.03447137276603715,5.070003707173312e-17
Arizona,0.016822987993888597,0.0,0.0,0.0,3.18476384729829e-16,0.021535675487451056,0.12730829578387348,0.0,2.9272336708443567e-17,6.584928593737969e-17,0.0,0.0181627292606232,0.0,0.03533902911171729,0.1976491552854439
Florida,0.0,0.02296306095935546,0.0,0.0,0.0033654110999254776,0.041384348730201484,2.1196809082129566e-16,1.629674473188118e-16,0.008679851499963613,4.0319830946192023e-16,0.0,0.03765850090121322,2.712196102754594e-17,0.0,1.0596431548521648e-16
Georgia,0.0,0.0,0.0,0.0,3.1624937958713724e-17,0.027843593344022626,9.740485992966833e-17,1.4872623418738505e-16,1.86177973141598e-18,2.8584469164019794e-16,1.5801991084404542e-16,0.10062242882447484,0.0,0.04521550441477285,1.959864855631666e-16
Hawaii,1.2788774803464563e-16,0.28329431905423574,0.0,0.20274451918599076,0.029433696659629832,0.042090764022777755,1.900051829076565e-17,2.6054065186664662e-17,0.0022105750190601703,1.3215977234388093e-16,0.0,3.3858111936513677e-17,0.0,0.02178857110799218,1.698635122940671e-16
Iowa,4.466152257848697e-18,0.0,0.0,5.4601629219515255e-17,2.3472344391490153e-16,0.02610911888797288,0.04848747051483488,2.660819560372798e-16,2.1123660813609708e-17,8.586758093143629e-17,0.0,2.977119609476715e-17,0.10558536834134497,0.05595459721283358,1.0863343871804867e-17
Idaho,0.10537638183237732,0.0,0.07650886375199815,0.0,0.0010073026090020659,0.03806780919372711,9.785057395208707e-17,0.0,0.06263512901312092,0.0,0.028471434122866606,0.05014691476939163,0.0,0.0330541828585615,3.5061172568235256e-17
Indiana,0.00672356193548889,0.0,0.01427487357442229,0.014532809255229526,6.229784970907287e-17,0.027009317311014098,0.037614223996950594,2.4582690182904926e-16,0.053301646728250586,0.13597595181540903,0.0,7.369512260957862e-17,0.06768645449698674,0.03359047934232623,7.760097420507753e-17
Kansas,0.04829516827543851,2.7693021772080434e-17,0.0,8.689698017161788e-18,5.797905854968206e-17,0.026720274173704324,0.11801849489292278,2.1853993761848983e-16,0.020666280051417203,0.0086074512460556,4.077655751195903e-19,0.07754694887651435,0.07992025181981735,0.04476484292499276,0.008022908239181357
Louisiana,0.10759879948941303,0.0,2.1312611843588643e-17,0.0,0.17292403539579831,0.01265379138153968,0.21690728512290539,2.4970381851679304e-16,0.11004117729849577,0.0,0.0,0.08518253056010262,1.1175368437082704e-16,0.045523082757704156,0.07263869943958315
Massachusetts,0.0,1.7829496076273437e-17,0.0,0.05510204738150243,0.12516137915109163,0.040940537692038495,1.0834604405056494e-16,0.0,0.07345267016928961,0.0,2.6364962547490997e-17,0.08566908917005943,4.789269735534856e-17,7.352925002795984e-18,0.2641926016309841
Maine,0.0,3.763994146575256e-17,0.13965059958929915,0.24585162762529508,2.2518396333647383e-17,0.0339739021882879,7.884565712642218e-17,0.41613629984616407,0.01938028388332302,0.08671635007446861,0.3736078261608343,4.6439719143016e-17,9.740193871913529e-17,0.010562842549789725,2.2842554346119645e-16
Missouri,0.0,3.241908932287415e-17,1.7954417239294255e-16,3.320619229080824e-16,0.05891204600119174,1.4627987604729992e-17,1.0232903647469286e-17,4.190909202112136e-17,4.798417974260603e-18,1.4706186847264048e-16,0.0,0.0471010950432723,0.0,0.03577739041335415,0.09318714829276459
Mississippi,0.25547256019924275,1.2081735489449806e-16,2.1803953785050823e-17,3.070766383765695e-17,3.505468838211142e-17,0.03791343925868315,0.018524977292929446,0.0,6.636494686646438e-18,5.0439636836943566e-17,3.9690412477533183e-17,0.027620128178656753,0.0,0.02392741520959546,1.1817868689290505e-17
Montana,0.17304288563488893,4.666511176414185e-16,1.6764587652676048e-16,0.0,6.843936240483526e-17,3.104987452769274e-17,0.0031585218739211486,0.0,1.8218123678851404e-17,0.0,0.0,2.3694266802919032e-17,0.15816711375758832,0.01343234564186098,0.02874885698441854
North Carolina,5.522757644400934e-18,0.0,0.0,0.017638538993886305,1.6028261106588096e-16,0.016411845290546585,0.030137940035718496,0.0,1.0358406158430412e-17,0.022641984953727653,0.0,1.9760957054972305e-17,0.1378867334583387,0.04446945282104379,3.3575831623336916e-17
North Dakota,0.11524303950747979,0.013662587861847233,0.017561207617723895,0.0,2.4731356204102993e-17,0.025650441702024438,0.022480018861275233,0.0,2.802527428104332e-17,0.0,1.3784923130347015e-16,0.0478798423111098,0.0,0.034345045580578874,1.7447522893071262e-17
Nebraska,5.961161269811627e-17,2.956380151520271e-16,0.06130367986133388,0.009598745729938943,8.321299791502268e-17,0.028576411986053173,9.281794526079333e-19,0.056394832301269376,2.8276015627852653e-17,0.03240759023743794,0.10413932022161644,9.056375696216686e-17,0.0,3.0240357454442367e-18,2.08775692106794e-17
New Mexico,2.7970054750571566e-17,0.22513201859176699,0.08761598186941537,3.3692568539040334e-16,7.381946436189024e-17,0.009756407866320937,5.436074738608036e-18,0.0,4.117924697233888e-18,1.8773131147370114e-16,0.0,0.03045717263912568,7.084011958519868e-17,0.03478683530975181,0.013240157475427637
Nevada,2.8683663350606563e-16,0.23809328911520383,1.1527585312083667e-16,0.20823037030634145,0.1143001172888517,0.034201134729167165,2.4782387359703036e-17,0.012209235633881358,9.750186978727957e-18,0.019764128083055835,0.10530823595314484,0.06264903731488008,2.2722661506114097e-16,0.02225221680967701,2.714126246051675e-17
Oklahoma,0.04042712761576742,2.034854984420071e-16,1.676558030503697e-16,0.0,4.786492413079109e-17,0.04180767840297455,0.0052067224331233935,1.778265695172131e-16,0.12552181395328668,0.0,0.0,8.927318778043961e-17,0.0,0.023393697973475014,1.0082827124282024e-17
Pennsylvania,9.291507888546492e-17,0.049142484244130445,0.1284844619880473,0.0,7.059356213778971e-17,0.04839145812433507,1.2678370894979472e-17,0.0,0.0863360454159229,0.010056789681758636,2.0452310167385115e-16,0.01031896824326178,0.0,0.023239713827546124,2.4440373577764747e-17
Rhode Island,0.02752827236551561,3.3384942289808687e-17,0.0,0.0,0.1489669467297062,0.0417948462778058,0.12805663794001387,0.0,0.13046917814322018,0.04432163783550537,4.351089970289297e-17,0.04289406785570982,6.62563322871505e-17,0.0017872348489107607,0.05052852344776949
South Carolina,9.56115562535611e-17,0.0,0.0,0.222677531101108,0.07741894228782985,2.3474854359686457e-17,1.6370752311388034e-17,0.0,2.0317585333003108e-17,0.0744724555982692,2.019530514815985e-16,4.743476775533042e-17,0.04295262437483284,0.011376919448922428,0.028491430292779483
South Dakota,0.0,1.2890679713039573e-16,0.0,0.0,0.08056025451142902,0.025048786959067242,3.271616735723818e-18,0.0,2.6991903522213238e-17,5.410052184952338e-17,0.0,0.05847394512933983,3.782980668024723e-18,0.024179440683789778,0.01762535162758847
Tennessee,0.0981865575922606,0.0,0.0,0.0,2.0547250386874196e-17,2.4701339957926253e-17,0.06679033695720965,2.1680155991102574e-16,3.15067152510224e-17,0.0,0.0,5.593199820088025e-18,0.3263169723375454,0.04504132894650933,0.005542827737429457
Texas,0.005282657558238385,1.5912086456901171e-16,2.6670454122675742e-17,1.3397586900892297e-16,8.721233418196597e-17,0.03602942352556551,0.0327191306121003,2.3465231137263494e-16,0.015157642588442606,0.0,6.479542639354183e-17,7.119291040887567e-18,0.0,0.02435321618720356,0.054310550920021336
